PlayerId,NameFirst,NameLast,CurrentHandle,TotalUSDPrize,Game,Genre,Continent_Name,Country_Name,ReleaseDate,ReleaseYear
3883,Peter,Rasmussen,dupreeh,1822989.41,Counter-Strike: Global Offensive,First-Person Shooter,Europe,"Denmark, Kingdom of",2012-08-21,2012
3679,Andreas,Højsleth,Xyp9x,1799288.57,Counter-Strike: Global Offensive,First-Person Shooter,Europe,"Denmark, Kingdom of",2012-08-21,2012
3885,Nicolai,Reedtz,dev1ce,1787489.88,Counter-Strike: Global Offensive,First-Person Shooter,Europe,"Denmark, Kingdom of",2012-08-21,2012
3672,Lukas,Rossander,gla1ve,1652350.75,Counter-Strike: Global Offensive,First-Person Shooter,Europe,"Denmark, Kingdom of",2012-08-21,2012
17800,Emil,Reif,Magisk,1416448.64,Counter-Strike: Global Offensive,First-Person Shooter,Europe,"Denmark, Kingdom of",2012-08-21,2012
16800,Jakey,Yip,Stewie2k,1087340.0,Counter-Strike: Global Offensive,First-Person Shooter,North America,United States of America,2012-08-21,2012
12183,Epitácio,de Melo,TACO,1063858.27,Counter-Strike: Global Offensive,First-Person Shooter,South America,"Brazil, Federative Republic of",2012-08-21,2012
12169,Fernando,Alvarenga,fer,1063038.92,Counter-Strike: Global Offensive,First-Person Shooter,South America,"Brazil, Federative Republic of",2012-08-21,2012
2455,Gabriel,Toledo,FalleN,1059938.92,Counter-Strike: Global Offensive,First-Person Shooter,South America,"Brazil, Federative Republic of",2012-08-21,2012
12182,Marcelo,David,coldzera,1021901.46,Counter-Strike: Global Offensive,First-Person Shooter,South America,"Brazil, Federative Republic of",2012-08-21,2012
10629,Keith,Markovic,NAF,982765.66,Counter-Strike: Global Offensive,First-Person Shooter,North America,Canada,2012-08-21,2012
2452,Finn,Andersen,karrigan,964635.39,Counter-Strike: Global Offensive,First-Person Shooter,Europe,"Denmark, Kingdom of",2012-08-21,2012
11788,Jonathan,Jablonowski,ELiGE,930696.42,Counter-Strike: Global Offensive,First-Person Shooter,North America,United States of America,2012-08-21,2012
8635,Nick,Cannella,nitr0,920151.73,Counter-Strike: Global Offensive,First-Person Shooter,North America,United States of America,2012-08-21,2012
3875,Jesper,Wecksell,JW,897760.68,Counter-Strike: Global Offensive,First-Person Shooter,Europe,"Sweden, Kingdom of",2012-08-21,2012
5001,Olof,Kajbjer,olofmeister,880011.52,Counter-Strike: Global Offensive,First-Person Shooter,Europe,"Sweden, Kingdom of",2012-08-21,2012
3878,Robin,Rönnquist,flusha,877668.95,Counter-Strike: Global Offensive,First-Person Shooter,Europe,"Sweden, Kingdom of",2012-08-21,2012
5000,Freddy,Johansson,KRiMZ,867823.34,Counter-Strike: Global Offensive,First-Person Shooter,Europe,"Sweden, Kingdom of",2012-08-21,2012
20415,Russel,Van Dulken,Twistzz,835376.43,Counter-Strike: Global Offensive,First-Person Shooter,North America,Canada,2012-08-21,2012
3888,Dan,Madesclaire,apEX,814852.39,Counter-Strike: Global Offensive,First-Person Shooter,Europe,"France, French Republic",2012-08-21,2012
3290,Nathan,Schmitt,NBK,805444.66,Counter-Strike: Global Offensive,First-Person Shooter,Europe,"France, French Republic",2012-08-21,2012
3882,Ladislav,Kovács,GuardiaN,798520.8,Counter-Strike: Global Offensive,First-Person Shooter,Europe,Slovakia (Slovak Republic),2012-08-21,2012
10630,Tarik,Celik,tarik,780039.21,Counter-Strike: Global Offensive,First-Person Shooter,North America,United States of America,2012-08-21,2012
5483,Håvard,Nygaard,rain,763799.57,Counter-Strike: Global Offensive,First-Person Shooter,Europe,"Norway, Kingdom of",2012-08-21,2012
5783,Nikola,Kovač,NiKo,762802.56,Counter-Strike: Global Offensive,First-Person Shooter,Europe,Bosnia and Herzegovina,2012-08-21,2012
8168,Egor,Vasilyev,flamie,732920.07,Counter-Strike: Global Offensive,First-Person Shooter,Europe,Russian Federation,2012-08-21,2012
8168,Egor,Vasilyev,flamie,732920.07,Counter-Strike: Global Offensive,First-Person Shooter,Asia,Russian Federation,2012-08-21,2012
3289,Kenny,Schrub,kennyS,713086.68,Counter-Strike: Global Offensive,First-Person Shooter,Europe,"France, French Republic",2012-08-21,2012
1511,Daniil,Teslenko,Zeus,689568.7,Counter-Strike: Global Offensive,First-Person Shooter,Europe,Ukraine,2012-08-21,2012
8169,Alexander,Kostylev,s1mple,677155.31,Counter-Strike: Global Offensive,First-Person Shooter,Europe,Ukraine,2012-08-21,2012
3881,Richard,Papillon,shox,660640.55,Counter-Strike: Global Offensive,First-Person Shooter,Europe,"France, French Republic",2012-08-21,2012
4998,Janusz,Pogorzelski,snax,653938.44,Counter-Strike: Global Offensive,First-Person Shooter,Europe,"Poland, Republic of",2012-08-21,2012
10736,Markus,Kjærbye,Kjaerbye,617000.5,Counter-Strike: Global Offensive,First-Person Shooter,Europe,"Denmark, Kingdom of",2012-08-21,2012
