Genre,Game Name,Earnings,Players,Tournaments
Strategy,Age of Empires,965673.48,792,424
Strategy,Age of Empires II,5047880.13,2643,2416
Strategy,Age of Empires III,146206.97,196,206
Strategy,Age of Empires IV,1616476.52,945,684
Strategy,Age of Empires Online,12812.98,54,76
Strategy,Age of Mythology,306967.15,392,389
Strategy,Among Us,86000.00,14,8
Strategy,Auto Chess,1163720.28,133,52
Strategy,Beyond All Reason,0.00,0,0
Strategy,Brawl Stars,9171511.80,704,210
Strategy,Chess.com,10984703.36,1217,849
Strategy,chess24,4318475.43,90,29
Strategy,chessarena.com,263363.64,134,22
Strategy,Clash of Clans,6950742.37,571,85
Strategy,Clash Royale,9626325.93,582,145
Strategy,Clash Royale x Chess,0.00,0,0
Strategy,Command & Conquer 3,53086.67,9,8
Strategy,Command & Conquer: Red Alert,15000.00,8,1
Strategy,Company of Heroes 2,8561.22,11,6
Strategy,ComPet,2000.00,50,1
Strategy,Dead By Daylight,60000.00,35,9
Strategy,Dead by Daylight Mobile,10000.00,0,1
Strategy,Dota Underlords,26024.18,62,36
Strategy,Endgods,0.00,0,0
Strategy,Farming Simulator 19,689617.90,145,32
Strategy,Farming Simulator 22,181663.39,48,8
Strategy,GeoGuessr,350699.32,81,12
Strategy,Grey Goo,36400.00,18,5
Strategy,Heroes of Might and Magic III,0.00,0,0
Strategy,Identity V,6621388.92,425,31
Strategy,Internet Chess Club,10000.00,6,1
Strategy,Iron Harvest,0.00,0,0
Strategy,Legion TD 2,0.00,0,0
Strategy,Lichess,1316106.01,369,191
Strategy,Loco Dojo Unleashed,1000.00,4,1
Strategy,Men of War: Assault Squad 2,0.00,0,0
Strategy,Multigaming,631156.54,58,12
Strategy,Playchess.com,32866.58,116,9
Strategy,Pokémon GO,1195340.00,411,111
Strategy,Pokémon VGC,718852.00,331,49
Strategy,Prophecy,13000.00,27,4
Strategy,PUBG: BLINDSPOT,6000.00,30,1
Strategy,Rise of Nations: Rise of Legends,69600.00,8,1
Strategy,Sea of Thieves,100000.00,67,4
Strategy,Star Wars: Squadrons,800.00,4,1
Strategy,StarCraft II,43451866.17,2280,7535
Strategy,StarCraft: Brood War,7568369.96,664,544
Strategy,StarCraft: Evo Complete (Mod),22013.18,38,11
Strategy,StarCraft: Remastered,6496544.06,454,904
Strategy,Stormgate,54559.66,97,39
Strategy,Summoners War: Sky Arena,792000.00,33,7
Strategy,Super Mario Party,220.00,4,1
Strategy,Supreme Commander,4901.26,0,1
Strategy,Supreme Commander: Forged Alliance,1290.01,0,1
Strategy,Teamfight Tactics,9622418.25,892,113
Strategy,Temtem,60500.00,35,9
Strategy,TEPPEN,626226.60,53,24
Strategy,The Binding of Isaac,15000.00,16,1
Strategy,Total Annihilation,15000.00,2,1
Strategy,UNO,30000.00,28,3
Strategy,WarCraft III,6308079.74,771,1552
Strategy,WarCraft III: Reforged,2224422.95,212,601
Strategy,"Warhammer 40,000: Dawn of War",88154.20,10,4
Strategy,"Warhammer 40,000: Dawn of War II",0.00,0,0
Strategy,Warparty,1175.00,6,2
Strategy,Windjammers,5651.47,36,16
Strategy,World in Conflict,293338.23,38,11
Strategy,World of Tanks,6875203.11,971,100
Strategy,World of Tanks Blitz,63330.00,14,6
Strategy,ZeroSpace,20000.00,11,2
First-Person Shooter,After-H,138060.40,111,25
First-Person Shooter,Aim Gods,250000.00,2,1
First-Person Shooter,Aliens versus Predator 2,43500.00,2,2
First-Person Shooter,Alliance of Valiant Arms,0.00,0,0
First-Person Shooter,Archangel Hellfire,5500.00,14,9
First-Person Shooter,Battalion 1944,206654.67,135,29
First-Person Shooter,Battlefield 1,0.00,0,0
First-Person Shooter,Battlefield 2,94715.22,0,13
First-Person Shooter,Battlefield 2142,18546.14,0,4
First-Person Shooter,Battlefield 2: Modern Combat,300000.00,20,1
First-Person Shooter,Battlefield 3,25407.46,5,7
First-Person Shooter,Battlefield 4,245766.46,204,145
First-Person Shooter,Battlefield Hardline,13463.28,20,1
First-Person Shooter,Battlefield V,0.00,0,0
First-Person Shooter,Beat Aim,430.00,12,6
First-Person Shooter,Big Buck Hunter Arcade,76200.00,3,1
First-Person Shooter,Black Squad,8480.72,57,17
First-Person Shooter,Blaston,19623.06,27,22
First-Person Shooter,Borderlands 3,50000.00,16,1
First-Person Shooter,Brink,21505.82,5,1
First-Person Shooter,Call of Duty,54799.77,68,5
First-Person Shooter,Call of Duty 2,75090.24,53,17
First-Person Shooter,Call of Duty 4: Modern Warfare,428610.49,446,88
First-Person Shooter,Call of Duty Online,949542.00,0,8
First-Person Shooter,Call of Duty: Advanced Warfare,2611808.93,783,405
First-Person Shooter,Call of Duty: Black Ops,375793.48,118,23
First-Person Shooter,Call of Duty: Black Ops 2,1479139.25,187,54
First-Person Shooter,Call of Duty: Black Ops 4,6734938.95,389,82
First-Person Shooter,Call of Duty: Black Ops 6,3852200.00,83,13
First-Person Shooter,Call of Duty: Black Ops Cold War,6549000.00,299,92
First-Person Shooter,Call of Duty: Black Ops III,3939783.29,424,78
First-Person Shooter,Call of Duty: Blackout,611608.35,175,18
First-Person Shooter,Call of Duty: Ghosts,1594185.25,199,76
First-Person Shooter,Call of Duty: Infinite Warfare,4166705.06,343,84
First-Person Shooter,Call of Duty: Mobile,9364832.75,477,44
First-Person Shooter,Call of Duty: Modern Warfare,7500784.50,396,81
First-Person Shooter,Call of Duty: Modern Warfare 2,117479.89,69,22
First-Person Shooter,Call of Duty: Modern Warfare 3,1161041.56,217,49
First-Person Shooter,Call of Duty: Modern Warfare II,6121126.90,227,38
First-Person Shooter,Call of Duty: Modern Warfare III,6452001.00,176,22
First-Person Shooter,Call of Duty: Vanguard,6321000.00,261,91
First-Person Shooter,Call of Duty: Warzone,13854809.95,1287,407
First-Person Shooter,Call of Duty: Warzone 2.0,0.00,0,0
First-Person Shooter,Call of Duty: WWII,4578021.00,296,77
First-Person Shooter,Chex Quest,100.00,2,1
First-Person Shooter,Contractors,1000.00,20,1
First-Person Shooter,Counter-Strike,13627581.40,4349,1029
First-Person Shooter,Counter-Strike 2,55187317.36,4887,907
First-Person Shooter,Counter-Strike Online,406989.60,70,12
First-Person Shooter,Counter-Strike: Condition Zero,162150.60,111,3
First-Person Shooter,Counter-Strike: Global Offensive,162769575.27,16582,7108
First-Person Shooter,Counter-Strike: Source,3160540.00,1570,358
First-Person Shooter,Critical Ops,123106.41,114,6
First-Person Shooter,CrossFire,31062357.96,1162,418
First-Person Shooter,CrossFire HD,1934161.10,139,7
First-Person Shooter,CrossFire Mobile,6780944.77,280,40
First-Person Shooter,Crysis,11340.95,0,2
First-Person Shooter,Day of Defeat,51180.41,43,4
First-Person Shooter,Day of Defeat: Source,14068.57,50,8
First-Person Shooter,Descent 3,50000.00,1 Player,1
First-Person Shooter,Diabotical,265072.09,399,388
First-Person Shooter,Doom (2016),7000.00,6,1
First-Person Shooter,Doom 3,257748.16,14,4
First-Person Shooter,Doom II: Hell on Earth,5108.56,14,8
First-Person Shooter,DOOMBRINGER,567.77,8,4
First-Person Shooter,Echo Combat,46800.00,16,1
First-Person Shooter,Enemy Territory: Quake Wars,60923.12,27,4
First-Person Shooter,Escape from Tarkov,114600.00,150,4
First-Person Shooter,EV.IO,42999.00,89,8
First-Person Shooter,Evolve,131509.05,110,33
First-Person Shooter,F.E.A.R.,178000.00,20,5
First-Person Shooter,fragpunk,0.00,0,0
First-Person Shooter,Ghost Recon Advanced Warfighter,24000.00,0,2
First-Person Shooter,Gundam Versus,280.00,6,1
First-Person Shooter,Guns of Boom,198750.00,8,21
First-Person Shooter,Halo 2,1640232.93,126,74
First-Person Shooter,Halo 2 Anniversary,468705.05,97,20
First-Person Shooter,Halo 3,2318079.40,214,43
First-Person Shooter,Halo 4,430748.76,66,19
First-Person Shooter,Halo 5: Guardians,7161730.97,248,109
First-Person Shooter,Halo Infinite,7253555.03,280,59
First-Person Shooter,Halo: Combat Evolved,299281.00,118,39
First-Person Shooter,Halo: Reach,772089.97,121,29
First-Person Shooter,Ironsight,0.00,0,0
